RU;94;492;TransparentCalls;0.65;826;51;17
US;38;1579;E-Voice;0.69;863;25;59
GB;6;1690;TransparentCalls;0.62;111;53;28
FR;73;1026;TransparentCalls;0.65;756;65;46
BL;67;1499;E-Voice;0.82;746;4;46
AT;38;1892;TransparentCalls;0.65;616;37;17
BG;100;1524;E-Voice;0.75;384;3;23
DK;17;1970;JustPhone;0.90;628;5;31
CA;14;489;JustPhone;0.74;372;12;39
ES;73;1535;E-Voice;0.60;171;78;32
CH;9;1987;JustPhone;0.70;332;85;9
TR;35;899;TransparentCalls;0.69;857;10;37
PE;82;1486;JustPhone;0.65;348;66;57
NZ;47;309;JustPhone;0.91;20;36;47
MC;87;503;E-Voice;0.70;677;17;15
MsC;87;503;E-Voice;0.70;677;17;15
MC;87;503;E-Vosice;0.70;677;17;15
